Country,Month,Total Passengers
South Korea,10/01/2019,505222
United Kingdom,10/01/2019,1898791
Jamaica,10/01/2019,293246
Iceland,10/01/2019,117098
Switzerland,10/01/2019,224240
United Arab Emirates,10/01/2019,273200
Denmark,10/01/2019,90292
Honduras,10/01/2019,68972
Dominican Republic,10/01/2019,446358
Panama,10/01/2019,273635
Ecuador,10/01/2019,86576
El Salvador,10/01/2019,168083
Aruba,10/01/2019,127271
Netherlands,10/01/2019,565437
China,10/01/2019,664497
Colombia,10/01/2019,305762
Atlantic Ocean,10/01/2019,55107
Spain,10/01/2019,450499
Canada,10/01/2019,2568321
Chile,10/01/2019,85691
